epoch,train_loss,train_mae,train_group_acc,val_loss,val_mae,val_group_acc,adult_mae,score,best_score,best_val_mae,best_adult_mae,lr,elapsed_sec,improved,meaningful_improvement,fine_tuned
1,1.421453021104131,11.1916347886557,0.3836363636363636,1.2311598403855126,10.772053621499845,0.37524752475247525,7.884712479395545,9.76148422176334,9.76148422176334,10.772053621499845,7.884712479395545,0.0007,1756.7050597667694,True,True,False
2,1.2760625242444676,10.099093869638027,0.4235118306351183,1.170130774384678,10.267933553563486,0.3914851485148515,7.710734707413115,9.372913957410857,9.372913957410857,10.267933553563486,7.710734707413115,0.0007,1789.574455022812,True,True,False
3,1.221066239108778,9.720941936260143,0.44677459526774593,1.2194601382831536,10.653414421459235,0.379009900990099,7.733725467198331,9.63152328746792,9.372913957410857,10.267933553563486,7.710734707413115,0.0007,1730.0864627361298,False,False,False
4,0.8903675881299106,7.035813517873343,0.5481195516811955,0.7506304554656,6.142790253894164,0.5243564356435644,6.232762663341434,6.174280597200709,6.174280597200709,6.142790253894164,6.232762663341434,6e-05,4222.13415646553,True,True,True
5,0.6902538745756612,5.546037493334018,0.6225653798256539,0.6543072393389031,5.2181715521481955,0.5742574257425742,5.888444458669517,5.452767069430658,5.452767069430658,5.2181715521481955,5.888444458669517,6e-05,4148.4344737529755,True,True,True
6,0.5978252925255231,4.914919094594003,0.6627646326276463,0.6094261017884358,4.825718203251904,0.5867326732673267,5.6414995433844135,5.1112416722982825,5.1112416722982825,4.825718203251904,5.6414995433844135,6e-05,4116.946409225464,True,True,True
7,0.5433530011034546,4.5351400449949955,0.6896637608966376,0.625887934288176,5.079859168930809,0.5885148514851485,5.154252594537078,5.105896867893003,5.105896867893003,5.079859168930809,5.154252594537078,6e-05,4119.093163728714,True,False,True
8,0.5041020285801157,4.27089414480169,0.7108094645080947,0.5592166864281833,4.278995056152343,0.6207920792079208,5.659860129529587,4.7622978318343785,4.7622978318343785,4.278995056152343,5.659860129529587,6e-05,4129.690505981445,True,True,True
9,0.47231362999598975,4.072087232558843,0.7330012453300124,0.5637949153928473,4.437978026135133,0.6215841584158416,5.456510466058843,4.7944643801084315,4.7622978318343785,4.278995056152343,5.659860129529587,6e-05,4131.374505281448,False,False,True
10,0.44529259132863874,3.899561324636191,0.7462017434620174,0.5566554012983153,4.172133216102525,0.6275247524752475,5.751542888101248,4.724926601302078,4.724926601302078,4.172133216102525,5.751542888101248,6e-05,4105.158190011978,True,True,True
11,0.41348323785798485,3.7050596604400674,0.7644582814445828,0.5544349748663383,4.176172898547484,0.6352475247524753,5.564382301426711,4.662046189555213,4.662046189555213,4.176172898547484,5.564382301426711,6e-05,4133.661912679672,True,True,True
12,0.39545906758694394,3.6039167529114455,0.7760398505603985,0.5432485948812844,4.071951383458506,0.64,5.446156706078305,4.552923246375435,4.552923246375435,4.071951383458506,5.446156706078305,6e-05,4119.980229854584,True,True,True
